Project Name,Program Group,Borough,Postcode,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Reporting Construction Type,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
HP WH HDFC.HPO.FY19 (BLACK SPRUCE - WASHINGTON HEIGHTS),Multifamily Finance Program,Manhattan,10032.0,7.0,245,MN36,Preservation,Non Prevailing Wage,1,10,32,56,0,56,56
LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,Multifamily Finance Program,Manhattan,10029.0,8.0,168,MN33,Preservation,Non Prevailing Wage,9,16,8,34,0,34,34
3206 GLENWOOD ROAD,Multifamily Incentives Program,Brooklyn,11210.0,45.0,786,BK42,New Construction,Non Prevailing Wage,0,0,0,3,0,3,9
MHANY 75,Multifamily Finance Program,Brooklyn,11237.0,34.0,429,BK77,Preservation,Non Prevailing Wage,0,3,0,3,0,3,3
5959 BROADWAY,Multifamily Incentives Program,Bronx,10463.0,11.0,285,BX29,New Construction,Non Prevailing Wage,0,0,15,15,0,15,72
ARCHER AVENUE,Multifamily Finance Program,Queens,11433.0,27.0,444,QN61,New Construction,Non Prevailing Wage,0,18,70,89,0,89,89
LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,Multifamily Finance Program,Manhattan,10029.0,8.0,166,MN33,Preservation,Non Prevailing Wage,6,4,8,18,0,18,18
SUNSET PARK APARTMENTS HDFC.HUDMF.FY17,Multifamily Finance Program,Brooklyn,11220.0,38.0,100,BK34,Preservation,Non Prevailing Wage,6,0,0,6,0,6,6
221 EAST 105TH STREET,Multifamily Incentives Program,Manhattan,10029.0,8.0,170,MN33,New Construction,Non Prevailing Wage,0,0,0,7,0,7,23
Genesis Year 15 Resyndication,Multifamily Finance Program,Manhattan,10030.0,9.0,228,MN03,Preservation,Non Prevailing Wage,0,5,14,19,0,19,19
STAGG 1 - AMANDA'S COVE.HPO.FY19,Multifamily Finance Program,Bronx,10475.0,12.0,46202,BX13,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11206.0,36.0,261,BK75,Preservation,Non Prevailing Wage,0,0,6,6,0,6,6
Walison. 280-282 E. Burnside Ave. Burnside Walton,Multifamily Finance Program,Bronx,10453.0,14.0,239,BX40,New Construction,Non Prevailing Wage,33,0,16,50,0,50,50
Vannguard,Multifamily Finance Program,Brooklyn,11233.0,36.0,295,BK35,Preservation,Non Prevailing Wage,0,0,10,10,0,10,10
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,162,45,0,207,207,207
TRIPLE HDFC.HPO.FY19,Multifamily Finance Program,Manhattan,10029.0,8.0,170,MN33,Preservation,Non Prevailing Wage,0,0,35,48,0,48,48
1025-1027 LEGGETT AVE HDFC.PLP.FY19,Multifamily Finance Program,Bronx,10455.0,8.0,85,BX33,Preservation,Non Prevailing Wage,0,43,4,0,48,48,48
570 NOSTRAND AVENUE,Multifamily Incentives Program,Brooklyn,11216.0,36.0,247,BK61,New Construction,Non Prevailing Wage,0,0,0,8,0,8,25
877 PARK AVENUE,Multifamily Incentives Program,Brooklyn,11206.0,36.0,28501,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11216.0,36.0,251,BK75,Preservation,Non Prevailing Wage,0,0,17,17,0,17,17
Harry Silver Apartments,Multifamily Incentives Program,Brooklyn,11203.0,41.0,880,BK60,Preservation,Non Prevailing Wage,0,0,288,0,288,288,288
STAGG 1 - AMANDA'S COVE.HPO.FY19,Multifamily Finance Program,Bronx,10469.0,12.0,370,BX44,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
CASA RENACER HDFC.YR15.FY19,Multifamily Finance Program,Manhattan,10035.0,8.0,196,MN34,Preservation,Non Prevailing Wage,47,7,5,60,0,60,60
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11205.0,33.0,241,BK75,Preservation,Non Prevailing Wage,1,5,1,8,0,8,8
Arverne View Apartments (AKA Ocean Village),Multifamily Finance Program,Queens,11692.0,31.0,97202,QN12,Preservation,Prevailing Wage,0,0,216,216,0,216,216
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11238.0,36.0,227,BK69,Preservation,Non Prevailing Wage,0,0,4,4,0,4,4
MT HOPE PRESERVATION APARTMENTS LLC.PLP.FY18,Multifamily Finance Program,Bronx,10453.0,14.0,241,BX41,Preservation,Non Prevailing Wage,0,24,11,37,0,37,37
West 140th Street,Multifamily Finance Program,Manhattan,10030.0,9.0,230,MN03,Preservation,Non Prevailing Wage,0,3,10,18,0,18,18
AVALON MIDTOWN WEST,Multifamily Incentives Program,Manhattan,10019.0,3.0,125,MN17,Preservation,Non Prevailing Wage,0,0,0,28,0,28,550
WEST 135TH STREET APARTMENTS,Multifamily Finance Program,Manhattan,10030.0,9.0,228,MN03,Preservation,Non Prevailing Wage,1,3,18,22,0,22,22
BEC Phase 1,Multifamily Finance Program,Brooklyn,11216.0,35.0,221,BK61,Preservation,Non Prevailing Wage,0,1,7,8,0,8,8
STAGG 3 - MICKEY'S CORNER.HPO.FY19,Multifamily Finance Program,Bronx,10470.0,11.0,414,BX62,Preservation,Non Prevailing Wage,0,0,2,2,0,2,2
MHANY 75,Multifamily Finance Program,Brooklyn,11207.0,37.0,1152,BK82,Preservation,Non Prevailing Wage,0,3,0,3,0,3,3
171 LINDEN BOULEVARD APARTMENTS,Multifamily Incentives Program,Brooklyn,11226.0,40.0,820,BK60,New Construction,Non Prevailing Wage,0,0,0,10,0,10,31
Stuy Town Peter Cooper Village,Multifamily Finance Program,Manhattan,10010.0,4.0,60,MN50,Preservation,Non Prevailing Wage,0,0,6,53,0,53,53
321 East 60th Street,Multifamily Incentives Program,Manhattan,10022.0,5.0,110,MN31,New Construction,Non Prevailing Wage,0,0,20,20,0,20,21
41-53 77TH STREET,Multifamily Incentives Program,Queens,11373.0,25.0,267,QN29,New Construction,Non Prevailing Wage,0,0,0,3,0,3,7
HABITAT-NYC SINGLE FAMILY HOMES PHASE II,Small Homes Program,Queens,11412.0,27.0,404,QN08,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11221.0,36.0,265,BK75,Preservation,Non Prevailing Wage,0,0,8,8,0,8,8
M TOWER,Multifamily Incentives Program,Brooklyn,11230.0,48.0,538,BK43,New Construction,Non Prevailing Wage,0,0,0,15,0,15,48
ENCLAVE AT THE CATHEDRAL,Multifamily Incentives Program,Manhattan,10025.0,7.0,19701,MN09,New Construction,Non Prevailing Wage,0,0,87,87,0,87,430
216 BOERUM STREET APARTMENTS,Multifamily Incentives Program,Brooklyn,11206.0,34.0,485,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
STAGG 4 - TYLER'S BRONX.HPO.FY19,Multifamily Finance Program,Bronx,10466.0,12.0,398,BX44,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
464-68 W 51 ST HDFC.GHPP.FY19,Multifamily Finance Program,Manhattan,10019.0,3.0,133,MN15,Preservation,Non Prevailing Wage,7,0,1,0,8,8,8
Newport Gardens HDFC,Multifamily Incentives Program,Brooklyn,11212.0,42.0,920,BK81,Preservation,Non Prevailing Wage,0,0,24,24,0,24,24
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,148,59,0,207,207,207
1605 NEW YORK AVENUE,Multifamily Incentives Program,Brooklyn,11210.0,45.0,784,BK91,New Construction,Non Prevailing Wage,0,0,0,5,0,5,16
FRANKLIN PLAZA APARTMENTS INC.HRP.FY18,Multifamily Finance Program,Manhattan,10029.0,8.0,170,MN33,Preservation,Non Prevailing Wage,0,117,1,0,118,118,118
PARK AND ELTON APARTMENTS,Small Homes Program,Bronx,10451.0,17.0,141,BX35,New Construction,Non Prevailing Wage,6,3,5,24,0,24,24
VAN BUREN/GREENE,Small Homes Program,Brooklyn,11216.0,36.0,269,BK75,New Construction,Non Prevailing Wage,0,0,0,1,1,2,2
TBX907B- Belmont Arthur 2,Multifamily Finance Program,Bronx,10457.0,15.0,37504,BX17,Preservation,Non Prevailing Wage,0,6,14,20,0,20,20
1626 & 1630 BROOKLYN AVENUE,Multifamily Incentives Program,Brooklyn,11210.0,45.0,784,BK91,New Construction,Non Prevailing Wage,0,0,0,3,0,3,13
2004 DAVIDSON AVENUE,Multifamily Incentives Program,Bronx,10453.0,14.0,243,BX36,New Construction,Non Prevailing Wage,0,0,7,7,0,7,34
469 TOMPKINS AVE.GHPP.FY20,Multifamily Finance Program,Brooklyn,11216.0,36.0,269,BK75,Preservation,Non Prevailing Wage,0,0,5,6,0,6,6
MARCUS GARVEY PHASE I- BUILDING F,Multifamily Incentives Program,Brooklyn,11212.0,42.0,916,BK81,New Construction,Non Prevailing Wage,9,80,84,173,0,173,174
2749 CRUGER AVENUE,Multifamily Incentives Program,Bronx,10467.0,15.0,338,BX07,New Construction,Non Prevailing Wage,0,0,0,5,0,5,16
Tahl-Propp - AIMCO,Multifamily Finance Program,Manhattan,10027.0,9.0,215,MN03,Preservation,Non Prevailing Wage,108,0,0,108,0,108,108
RUTLAND ROAD APARTMENTS,Multifamily Incentives Program,Brooklyn,11203.0,41.0,87401,BK60,New Construction,Non Prevailing Wage,0,0,0,2,0,2,16
FULTON PARK,Multifamily Incentives Program,Brooklyn,11233.0,36.0,299,BK61,Preservation,Non Prevailing Wage,0,6,0,6,0,6,6
MHANY DUMONT HDFC.PLP.FY19,Multifamily Finance Program,Brooklyn,11208.0,37.0,1166,BK82,Preservation,Non Prevailing Wage,1,5,2,9,0,9,9
504 MYRTLE AVENUE,Multifamily Incentives Program,Brooklyn,11205.0,35.0,193,BK69,New Construction,Non Prevailing Wage,0,0,29,29,0,29,143
312 97TH STREET,Multifamily Incentives Program,Brooklyn,11209.0,43.0,5601,BK31,New Construction,Non Prevailing Wage,0,0,0,5,0,5,15
JENKINS PORTFOLIO COMPANIES LLC.YR15.FY19,Multifamily Finance Program,Manhattan,10030.0,9.0,230,MN03,Preservation,Non Prevailing Wage,5,4,1,10,0,10,10
DIEGO BEEKMAN MHA.GHPP.FY18,Multifamily Finance Program,Bronx,10454.0,8.0,2702,BX39,Preservation,Non Prevailing Wage,20,0,9,30,0,30,30
980 WESTCHESTER AVE.,Multifamily Finance Program,Bronx,10459.0,17.0,159,BX27,New Construction,Non Prevailing Wage,51,40,59,151,0,151,151
BEC Phase 1,Multifamily Finance Program,Brooklyn,11213.0,36.0,357,BK61,Preservation,Non Prevailing Wage,0,3,28,32,0,32,32
LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,Multifamily Finance Program,Manhattan,10029.0,8.0,166,MN33,Preservation,Non Prevailing Wage,0,5,5,10,0,10,10
18A BLEECKER STREET,Multifamily Incentives Program,Brooklyn,11221.0,34.0,395,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
308 LIVINGSTON STREET,Multifamily Incentives Program,Brooklyn,11217.0,33.0,37,BK38,New Construction,Non Prevailing Wage,0,0,9,9,0,9,160
RED HOOK GARDENS-ARTICLE XI,Multifamily Incentives Program,Brooklyn,11231.0,38.0,59,BK33,Preservation,Non Prevailing Wage,0,0,0,2,0,2,2
RED HOOK GARDENS-ARTICLE XI,Multifamily Incentives Program,Brooklyn,11231.0,38.0,59,BK33,Preservation,Non Prevailing Wage,2,0,0,2,0,2,2
Ogden Ave.,Multifamily Finance Program,Bronx,10452.0,8.0,189,BX26,Preservation,Non Prevailing Wage,40,1,0,41,0,41,41
LENOX COURT HDFC.GHPP.FY21,Multifamily Finance Program,Manhattan,10026.0,9.0,190,MN11,Preservation,Non Prevailing Wage,0,2,27,3,27,30,30
STAGG 2 - JUSTIN'S CORNER.HPO.FY19,Multifamily Finance Program,Bronx,10466.0,12.0,426,BX62,Preservation,Non Prevailing Wage,0,0,2,3,0,3,3
BEC Phase 1,Multifamily Finance Program,Brooklyn,11213.0,36.0,357,BK61,Preservation,Non Prevailing Wage,0,3,13,16,0,16,16
Marseilles Apartments,Multifamily Finance Program,Manhattan,10025.0,6.0,191,MN12,Preservation,Non Prevailing Wage,0,134,0,135,0,135,135
DOE. 3188 VILLA AVE,Multifamily Finance Program,Bronx,10468.0,11.0,411,BX05,New Construction,Prevailing Wage,41,27,0,68,0,68,68
SPRING CREEK PHASE 4B-1,Multifamily Finance Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,2,2,4,8,0,8,8
New Settlement Apartments,Multifamily Finance Program,Bronx,10452.0,14.0,209,BX63,Preservation,Non Prevailing Wage,0,31,21,54,0,54,54
Pio Mendez / VIP,Multifamily Incentives Program,Bronx,10457.0,17.0,36901,BX17,Preservation,Non Prevailing Wage,0,91,0,91,0,91,91
ESPLANADE GARDENS INCORPORATED.PLP.FY19,Multifamily Finance Program,Manhattan,10039.0,9.0,236,MN03,Preservation,Non Prevailing Wage,27,285,0,0,312,312,312
CSH,Multifamily Finance Program,Brooklyn,11233.0,41.0,373,BK79,Preservation,Non Prevailing Wage,0,0,6,6,0,6,6
SUNSET PARK APARTMENTS HDFC.HUDMF.FY17,Multifamily Finance Program,Brooklyn,11220.0,38.0,80,BK32,Preservation,Non Prevailing Wage,6,0,0,8,0,8,8
HOPE EAST OF FIFTH HDFC INC.YR15.FY17,Multifamily Finance Program,Manhattan,10035.0,8.0,182,MN34,Preservation,Non Prevailing Wage,0,4,0,4,0,4,4
ICL. 50 NEVINS STREET,Multifamily Finance Program,Brooklyn,11217.0,33.0,41,BK38,New Construction,Non Prevailing Wage,78,0,50,129,0,129,129
HOPE EAST OF FIFTH HDFC INC.YR15.FY17,Multifamily Finance Program,Manhattan,10035.0,8.0,182,MN34,Preservation,Non Prevailing Wage,0,9,1,10,0,10,10
509 West 38th Street,Multifamily Incentives Program,Manhattan,10018.0,3.0,117,MN13,New Construction,Non Prevailing Wage,0,0,46,46,0,46,225
FULTON PARK,Multifamily Incentives Program,Brooklyn,11233.0,36.0,299,BK61,Preservation,Non Prevailing Wage,0,6,0,6,0,6,6
SUNSET PARK APARTMENTS HDFC.HUDMF.FY17,Multifamily Finance Program,Brooklyn,11220.0,38.0,78,BK32,Preservation,Non Prevailing Wage,7,1,0,8,0,8,8
SPRING CREEK PHASE 4B-1,Multifamily Finance Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,3,2,3,8,0,8,8
CATON FLATS,Multifamily Finance Program,Brooklyn,11226.0,40.0,50803,BK42,New Construction,Non Prevailing Wage,0,27,37,255,0,255,255
STAGG 1 - AMANDA'S COVE.HPO.FY19,Multifamily Finance Program,Bronx,10466.0,12.0,424,BX44,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
JENKINS PORTFOLIO COMPANIES LLC.YR15.FY19,Multifamily Finance Program,Manhattan,10039.0,9.0,234,MN03,Preservation,Non Prevailing Wage,2,16,0,18,0,18,18
Lower East Side - Inclusionary Zoning,Multifamily Finance Program,Manhattan,10009.0,2.0,28,MN28,Preservation,Non Prevailing Wage,0,12,0,0,12,12,12
FAC. 6309 FOURTH AVENUE,Multifamily Finance Program,Brooklyn,11220.0,38.0,122,BK32,New Construction,Prevailing Wage,75,0,0,76,0,76,76
Clinton URA Site 7/CHDC,Multifamily Finance Program,Manhattan,10019.0,3.0,135,MN15,New Construction,Non Prevailing Wage,0,0,24,103,0,103,103
HOPE EAST OF FIFTH HDFC INC.YR15.FY17,Multifamily Finance Program,Manhattan,10035.0,8.0,194,MN34,Preservation,Non Prevailing Wage,0,4,0,4,0,4,4
MOTHER GASTON-HINSDALE,Small Homes Program,Brooklyn,11233.0,41.0,36501,BK79,New Construction,Non Prevailing Wage,0,0,0,2,1,3,3
PRC TIFFANY STREET,Multifamily Finance Program,Bronx,10459.0,17.0,159,BX27,New Construction,Non Prevailing Wage,46,40,74,161,0,161,161
Morrisania Portfolio,Multifamily Finance Program,Bronx,10456.0,16.0,18302,BX14,Preservation,Non Prevailing Wage,9,3,2,16,0,16,16
MOUNT HOPE PRESERVATION APARTMENTS LLC.YR15.FY18,Multifamily Finance Program,Bronx,10458.0,15.0,39902,BX05,Preservation,Non Prevailing Wage,0,17,7,24,0,24,24
TMN903 - Lemle & Wolff,Multifamily Finance Program,Manhattan,10027.0,9.0,208,MN03,Preservation,Non Prevailing Wage,0,24,0,24,0,24,24
TBX909-Erickson,Multifamily Finance Program,Bronx,10453.0,14.0,21502,BX36,Preservation,Non Prevailing Wage,0,0,19,20,0,20,20
CSH,Multifamily Finance Program,Brooklyn,11233.0,41.0,373,BK79,Preservation,Non Prevailing Wage,0,3,3,6,0,6,6
6 HAVENS PLACE APARTMENTS,Multifamily Incentives Program,Brooklyn,11233.0,37.0,367,BK79,New Construction,Non Prevailing Wage,0,0,0,2,0,2,7
MHANY 75,Multifamily Finance Program,Brooklyn,11207.0,42.0,1126,BK85,Preservation,Non Prevailing Wage,0,6,0,6,0,6,6
COMPASS 5,Multifamily Finance Program,Bronx,10460.0,17.0,359,BX17,New Construction,Non Prevailing Wage,65,0,152,218,0,218,218
HP WH HDFC.HPO.FY19 (BLACK SPRUCE - WASHINGTON HEIGHTS),Multifamily Finance Program,Manhattan,10040.0,10.0,279,MN35,Preservation,Non Prevailing Wage,1,19,12,38,0,38,38
894/896/900 NEW YORK AVENUE,Multifamily Incentives Program,Brooklyn,11203.0,40.0,818,BK95,New Construction,Non Prevailing Wage,0,0,0,3,0,3,18
387 MANHATTAN AVENUE,Multifamily Incentives Program,Brooklyn,11211.0,34.0,501,BK90,New Construction,Non Prevailing Wage,0,0,3,3,0,3,12
MHANY 2,Multifamily Finance Program,Brooklyn,11207.0,37.0,1152,BK82,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
Edgecombe Preservation Reyndication (Phase),Multifamily Finance Program,Manhattan,10030.0,9.0,227,MN04,Preservation,Non Prevailing Wage,0,0,15,15,0,15,15
MANHATTANVILLE PHASE I,Multifamily Finance Program,Manhattan,10031.0,7.0,233,MN04,Preservation,Non Prevailing Wage,0,0,20,0,20,20,43
50 CLARKSON AVENUE,Multifamily Incentives Program,Brooklyn,11226.0,40.0,79602,BK60,New Construction,Non Prevailing Wage,0,0,0,28,0,28,93
FSG DEVELOPMENT FCM - FSG REALTY LLC,Multifamily Finance Program,Brooklyn,11226.0,40.0,794,BK95,Preservation,Non Prevailing Wage,2,0,2,4,0,4,4
830 SHEVA REALTY HDFC.HPO.FY17,Multifamily Finance Program,Bronx,10459.0,17.0,87,BX33,Preservation,Non Prevailing Wage,0,7,63,71,0,71,71
1 FLATBUSH AVENUE,Multifamily Incentives Program,Brooklyn,11217.0,35.0,33,BK68,New Construction,Non Prevailing Wage,0,0,37,37,0,37,183
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11216.0,36.0,269,BK75,Preservation,Non Prevailing Wage,0,5,2,8,0,8,8
MHANY 75,Multifamily Finance Program,Brooklyn,11221.0,34.0,399,BK78,Preservation,Non Prevailing Wage,0,4,0,4,0,4,4
PENN SOUTH,Multifamily Incentives Program,Manhattan,10011.0,3.0,93,MN13,Preservation,Non Prevailing Wage,45,48,60,0,289,289,378
1711 Davidson HDFC,Multifamily Finance Program,Bronx,10453.0,14.0,217,BX36,Preservation,Non Prevailing Wage,0,48,38,39,47,86,86
CENTRAL HARLEM HDFC&270 ROCHESTER AVEHDFC,Multifamily Finance Program,Manhattan,10030.0,9.0,232,MN03,Preservation,Non Prevailing Wage,0,2,18,20,0,20,20
CULVER EL PHASE I,Small Homes Program,Brooklyn,11218.0,39.0,226,BK88,New Construction,Non Prevailing Wage,0,0,0,0,4,4,4
Lands End II - Two Bridges A/k/a Cherry St.,Multifamily Finance Program,Manhattan,10002.0,1.0,6,MN28,Preservation,Non Prevailing Wage,189,32,21,245,0,245,245
EAST VILLAGE II HDFC.HUDMF.FY18,Multifamily Finance Program,Manhattan,10009.0,2.0,28,MN28,Preservation,Non Prevailing Wage,15,6,1,23,0,23,23
DIEGO BEEKMAN MHA.GHPP.FY18,Multifamily Finance Program,Bronx,10454.0,8.0,33,BX39,Preservation,Non Prevailing Wage,4,5,7,16,0,16,16
PROSPECT PARK SOUTH PORTFOLIO.HPO.FY20,Multifamily Finance Program,Brooklyn,11226.0,40.0,51001,BK42,Preservation,Non Prevailing Wage,0,11,9,31,0,31,31
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11238.0,35.0,229,BK69,Preservation,Non Prevailing Wage,0,3,0,3,0,3,3
SOUNDVIEW HOMES - PHASE III,Multifamily Finance Program,Bronx,10473.0,18.0,20,BX09,New Construction,Non Prevailing Wage,0,0,0,0,8,8,8
JAMIES PLACE HDFC. HUDMF. FY18,Multifamily Finance Program,Manhattan,10035.0,9.0,196,MN34,Preservation,Non Prevailing Wage,27,5,1,33,0,33,33
894/896/900 NEW YORK AVENUE,Multifamily Incentives Program,Brooklyn,11203.0,40.0,818,BK95,New Construction,Non Prevailing Wage,0,0,0,3,0,3,3
STAGG 2 - JUSTIN'S CORNER.HPO.FY19,Multifamily Finance Program,Bronx,10467.0,15.0,336,BX07,Preservation,Non Prevailing Wage,0,0,7,8,0,8,8
Marcus Garvey Apartments (20140295),Multifamily Incentives Program,Brooklyn,11212.0,41.0,924,BK81,Preservation,Non Prevailing Wage,0,0,4,4,0,4,4
MHANY 75,Multifamily Finance Program,Brooklyn,11213.0,36.0,311,BK61,Preservation,Non Prevailing Wage,0,4,0,4,0,4,4
Nelson Luquer,Multifamily Finance Program,Brooklyn,11231.0,39.0,65,BK33,Preservation,Non Prevailing Wage,0,0,8,8,0,8,8
343 RALPH AVENUE,Multifamily Incentives Program,Brooklyn,11233.0,41.0,301,BK79,New Construction,Non Prevailing Wage,0,0,20,20,0,20,20
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,1,1,2,2
86 Fleet Place,Multifamily Incentives Program,Brooklyn,11201.0,35.0,31,BK68,New Construction,Non Prevailing Wage,0,0,29,29,0,29,440
1081 TIFFANY STREET APARTMENTS,Multifamily Incentives Program,Bronx,10459.0,17.0,131,BX33,New Construction,Non Prevailing Wage,0,0,0,8,0,8,26
TMN904 - PRECISE,Multifamily Finance Program,Manhattan,10027.0,9.0,224,MN03,Preservation,Non Prevailing Wage,0,0,9,9,0,9,9
STARRETT CITY,Multifamily Incentives Program,Brooklyn,11239.0,42.0,105801,BK93,Preservation,Non Prevailing Wage,0,80,51,131,0,131,131
STARRETT CITY,Multifamily Incentives Program,Brooklyn,11239.0,42.0,105801,BK93,Preservation,Non Prevailing Wage,0,51,33,84,0,84,84
MHANY 75,Multifamily Finance Program,Brooklyn,11207.0,42.0,1132,BK85,Preservation,Non Prevailing Wage,0,2,0,2,0,2,2
19 India Street (145 West Street),Multifamily Incentives Program,Brooklyn,11222.0,33.0,563,BK76,New Construction,Non Prevailing Wage,0,28,112,140,0,140,140
2999 WEBSTER AVE,Multifamily Incentives Program,Bronx,10458.0,11.0,415,BX05,New Construction,Non Prevailing Wage,0,0,7,7,0,7,34
CAMBA. 210-214 HEGEMAN AVE,Multifamily Finance Program,Brooklyn,11212.0,42.0,922,BK81,New Construction,Non Prevailing Wage,50,4,16,71,0,71,71
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,257,127,0,384,384,384
ZEVRONE REALTY HDFC.HPO.FY18,Multifamily Finance Program,Bronx,10455.0,17.0,73,BX34,Preservation,Non Prevailing Wage,3,2,16,22,0,22,22
Habitat-NYC Single Family Homes Phase I,Small Homes Program,Queens,11413.0,31.0,630,QN66,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II,Small Homes Program,Queens,11435.0,28.0,192,QN76,Preservation,Non Prevailing Wage,0,0,0,0,1,1,1
MHANY 75,Multifamily Finance Program,Brooklyn,11237.0,37.0,437,BK77,Preservation,Non Prevailing Wage,1,6,0,7,0,7,7
2605 Grand Concourse,Multifamily Finance Program,Bronx,10468.0,14.0,401,BX05,New Construction,Non Prevailing Wage,0,0,24,94,0,94,94
379 HARMAN STREET,Multifamily Incentives Program,Brooklyn,11237.0,37.0,443,BK77,New Construction,Non Prevailing Wage,0,0,0,10,0,10,32
BLAKE/HENDRIX,Small Homes Program,Brooklyn,11207.0,42.0,1134,BK85,New Construction,Non Prevailing Wage,0,0,0,2,1,3,3
1890 Andrews Avenue,Multifamily Finance Program,Bronx,10453.0,14.0,24501,BX36,Preservation,Non Prevailing Wage,16,39,0,56,0,56,56
Franklin,Multifamily Finance Program,Brooklyn,11216.0,35.0,221,BK61,Preservation,Non Prevailing Wage,0,0,4,4,0,4,4
WEST FARMS PRESERVATION HDFC.HPO.FY19,Multifamily Finance Program,Bronx,10460.0,17.0,363,BX17,Preservation,Non Prevailing Wage,0,0,19,21,0,21,21
SPRING CREEK PHASE 4B-1,Multifamily Finance Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,2,2,4,8,0,8,8
PLAZA APARTMENTS,Multifamily Finance Program,Brooklyn,11225.0,35.0,321,BK63,Preservation,Non Prevailing Wage,29,3,1,35,0,35,35
STAGG 2 - JUSTIN'S CORNER.HPO.FY19,Multifamily Finance Program,Bronx,10466.0,12.0,398,BX44,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
